_id/$oid,nombre,categoria,marca,presentacion,id
5cbc69be7af152186c0cd4ae,Detergente Espuma Activa de Limon Magistral 750 Cc,Limpieza,MAGISTRAL,750.0 cc,7500435019248
5cbc69be7af152186c0cd4ac,Detergente Lavavajilla de Limon botella Magistral 300 Cc,Limpieza,MAGISTRAL,300.0 cc,7500435019224
5cbc69be7af152186c0cd705,Detergente Limon Ala Plus 750 Cc,Limpieza,ALA,750.0 cc,7791290012455
5cbc69be7af152186c0cd701,Detergente Limon Cif Ultra 300 Ml,Limpieza,CIF,300.0 ml,7791290012158
5cbc69be7af152186c0cd6d6,Detergente Liquido Ropa Fina Oscura Doypack Woolite 450 Cc,Limpieza,WOOLITE,450.0 cc,7791130001250
5cbc69be7af152186c0cd4bd,Detergente Manzana Verde Magistral 500 Ml,Limpieza,MAGISTRAL,500.0 ml,7506309878997
5cbc69be7af152186c0cd621,Disco Adhesivo Inodoro Campos de Lavanda Mr Musculo Glade 24.6 Gr,Limpieza,MR MÚSCULO,24.6 gr,7790520013194
5cbc69be7af152186c0cd61d,Espiral Country Fuyi 150 Gr,Limpieza,FUYÍ,150.0 gr,7790520010476
5cbc69be7af152186c0cd619,Insecticida Casa y Jardin Aerosol Raid 390 Cc,Limpieza,RAID,390.0 cc,7790520009944
5cbc69be7af152186c0cd622,Insecticida Cebos Sistema Exterminador Caja Raid 15.6 Gr,Limpieza,RAID,15.6 gr,7790520013224
5cbc69be7af152186c0cd62a,Insecticida Mata Moscas y Mosquitos 5 en 1 en Aerosol Raid 360 Cc,Limpieza,RAID,360.0 cc,7790520017420
5cbc69be7af152186c0cd612,Insecticida Mata Moscas y Mosquitos Fuyi 360 Ml,Limpieza,FUYÍ,360.0 ml,7790520005816
5cbc69be7af152186c0cd62b,Insecticida Mata Moscas y Mosquitos sin Olor en Aerosol Raid 360 Cc,Limpieza,RAID,360.0 cc,7790520017437
5cbc69be7af152186c0cd62c,Insecticida Raid Mata Cucaracha y Aranas Aerosol 360 Cc,Limpieza,RAID,360.0 cc,7790520017529
5cbc69be7af152186c0cd6ff,Jabon en Polvo Alta Espuma Multiaccion Poder Acelerador Ala 800 Gr,Limpieza,ALA,800.0 gr,7791290011762
5cbc69be7af152186c0cd707,Jabon en Polvo Baja Espuma Core Perfect Results Skip 3 Kg,Limpieza,SKIP,3.0 kg,7791290012639
5cbc69be7af152186c0cd6fd,Jabon en Polvo Baja Espuma Multiaccion Poder Acelador Ala Matic 800 Gr,Limpieza,ALA,800.0 gr,7791290011717
5cbc69be7af152186c0cd70a,Jabon en polvo Baja Espuma Skip 1.5 Kg,Limpieza,SKIP,1.5 kg,7791290013605
5cbc69be7af152186c0cd700,Jabon en Polvo con Vivere Remueve Manchas Ala 3 Kg,Limpieza,ALA,3.0 kg,7791290011939
5cbc69be7af152186c0cd6e9,Jabon en Polvo Granby Lavado Total 800 Gr,Limpieza,GRANBY,800.0 gr,7791290004603
5cbc69be7af152186c0cd6fe,Jabon en Polvo Multiaccion Poder Acelerador Ala Matic 3 Kg,Limpieza,ALA,3.0 kg,7791290011731
5cbc69be7af152186c0cd49d,Jabon Liquido Ropa Agua Fria Ariel 3 Lt,Limpieza,ARIEL,3.0 lt,7500435004657
5cbc69be7af152186c0cd49c,Jabon Liquido Ropa Agua Fria Ariel 800 Cc,Limpieza,ARIEL,800.0 cc,7500435004633
5cbc69be7af152186c0cd49e,Jabon Liquido Ropa Agua Fria en Doypack Ariel 3 Lt,Limpieza,ARIEL,3.0 lt,7500435004664
5cbc69be7af152186c0cd6d7,Jabon Liquido Ropa de Bebe en Doypack Woolite 450 Cc,Limpieza,WOOLITE,450.0 cc,7791130001649
5cbc69be7af152186c0cd6fc,Jabon Liquido Ropa Doypack Skip 800 Cc,Limpieza,SKIP,800.0 cc,7791290011526
5cbc69be7af152186c0cd6f1,Jabon Liquido Ropa en Doypack Skip Perfect Results 3 Lt,Limpieza,SKIP,3.0 lt,7791290010079
5cbc69be7af152186c0cd6fb,Jabon Liquido Ropa Multiaccion Doypack Ala Matic 800 Cc,Limpieza,ALA,820.0 cc,7791290011496
